subject	stream	weight_type	number	weight	x0_type
4	dual	model	9	0.6622243808172665	specific
4	dual	model_k1	1	0.3324954903504919	specific
4	dual	model_k1	2	0.3910325244252485	specific
4	dual	model_k1	3	0.455286694640194	specific
4	dual	model_k1	4	0.4673663836149433	specific
4	dual	model_k1	5	0.4745211909054529	specific
4	dual	model_k1	6	0.5400430663610395	specific
4	dual	model_k1	7	0.5575838541812372	specific
4	dual	model_k1	8	0.6428247307297956	specific
4	dual	model_k1	9	0.6361994814661942	specific
4	dual	model_mean	1	0.35783692552283114	specific
4	dual	model_mean	2	0.4341472107726159	specific
4	dual	model_mean	3	0.4793072050543578	specific
4	dual	model_mean	4	0.4695606942776652	specific
4	dual	model_mean	5	0.4520581364228287	specific
4	dual	model_mean	6	0.5068182499313446	specific
4	dual	model_mean	7	0.5212936797425014	specific
4	dual	model_mean	8	0.6262489697170889	specific
4	dual	model_mean	9	0.6439844894430403	specific
4	single	data	1	0.4124293785310734	specific
4	single	data	2	0.5093167701863354	specific
4	single	data	3	0.5253164556962026	specific
4	single	data	4	0.5714285714285714	specific
4	single	data	5	0.5789473684210527	specific
4	single	data	6	0.6677631578947368	specific
4	single	data	7	0.6440129449838188	specific
4	single	data	8	0.6994047619047619	specific
4	single	data	9	0.7580645161290323	specific
4	single	model	1	0.43316191952630956	specific
4	single	model	2	0.4950075372921967	specific
4	single	model	3	0.5305543007886281	specific
4	single	model	4	0.5550459348296232	specific
4	single	model	5	0.5700841555347678	specific
4	single	model	6	0.6391648843389456	specific
4	single	model	7	0.6525483691113443	specific
4	single	model	8	0.7069813854755699	specific
4	single	model	9	0.764561710069175	specific
4	single	model_k1	1	0.4302334350738095	specific
4	single	model_k1	2	0.4779018271451324	specific
4	single	model_k1	3	0.5103491188370474	specific
4	single	model_k1	4	0.5380667337314419	specific
4	single	model_k1	5	0.5672318430013059	specific
4	single	model_k1	6	0.6447385185091992	specific
4	single	model_k1	7	0.6552315714103347	specific
4	single	model_k1	8	0.7040337490481667	specific
4	single	model_k1	9	0.7516656858469499	specific
4	single	model_mean	1	0.39547019434952985	specific
4	single	model_mean	2	0.4287829197175003	specific
4	single	model_mean	3	0.4556008067146802	specific
4	single	model_mean	4	0.485773581412388	specific
4	single	model_mean	5	0.5261124899160061	specific
4	single	model_mean	6	0.6015668962366727	specific
4	single	model_mean	7	0.6124918765493984	specific
4	single	model_mean	8	0.656818712803021	specific
4	single	model_mean	9	0.6941804379968272	specific
5	dual	data	1	0.37359550561797755	specific
5	dual	data	2	0.4364820846905538	specific
5	dual	data	3	0.4339080459770115	specific
5	dual	data	4	0.43174603174603177	specific
5	dual	data	5	0.47904191616766467	specific
5	dual	data	6	0.5175438596491229	specific
5	dual	data	7	0.5255255255255256	specific
5	dual	data	8	0.6144200626959248	specific
5	dual	data	9	0.6878612716763006	specific
5	dual	model	1	0.36787107226998267	specific
5	dual	model	2	0.43988954784732875	specific
5	dual	model	3	0.4505529770702724	specific
5	dual	model	4	0.44552822841595896	specific
5	dual	model	5	0.4508023917187623	specific
5	dual	model	6	0.5095426820128762	specific
