subject	stream	bias	kappa	number	dv	dv_abs	dv_abs_k1	mapmax_bias	mapmax_kappa
11	single	0.20000000000000007	1.5865128974999683	9	1.3354328898437553	1.3354328898437553	1.2000000000000002	0.15384615384615385	1.4918246976412708
11	dual	0.5	4.657419495658907	1	-0.039625707498161584	0.039625707498161584	0.5	0.5	1.9678135965090222
11	dual	0.5	4.657419495658907	2	-0.001570196694729859	0.001570196694729859	0.25	0.5	1.9678135965090222
11	dual	0.5	4.657419495658907	3	0.0	0.0	0.0	0.5	1.9678135965090222
11	dual	0.5	4.657419495658907	4	0.001570196694729859	0.001570196694729859	0.25	0.5	1.9678135965090222
11	dual	0.5	4.657419495658907	5	0.039625707498161584	0.039625707498161584	0.5	0.5	1.9678135965090222
11	dual	0.5	4.657419495658907	6	0.2618833527717877	0.2618833527717877	0.75	0.5	1.9678135965090222
11	dual	0.5	4.657419495658907	7	1.0	1.0	1.0	0.5	1.9678135965090222
11	dual	0.5	4.657419495658907	8	2.827161277910726	2.827161277910726	1.25	0.5	1.9678135965090222
11	dual	0.5	4.657419495658907	9	6.608925601743204	6.608925601743204	1.5	0.5	1.9678135965090222
12	single	-0.24615384615384617	0.1353352832366127	1	-1.0302300610116482	1.0302300610116482	1.2461538461538462	0.15384615384615385	1.4918246976412708
12	single	-0.24615384615384617	0.1353352832366127	2	-0.9994786120750968	0.9994786120750968	0.9961538461538462	0.15384615384615385	1.4918246976412708
12	single	-0.24615384615384617	0.1353352832366127	3	-0.9611456241518765	0.9611456241518765	0.7461538461538462	0.15384615384615385	1.4918246976412708
12	single	-0.24615384615384617	0.1353352832366127	4	-0.9095072266637197	0.9095072266637197	0.49615384615384617	0.15384615384615385	1.4918246976412708
12	single	-0.24615384615384617	0.1353352832366127	5	-0.8271966678302832	0.8271966678302832	0.24615384615384617	0.15384615384615385	1.4918246976412708
12	single	-0.24615384615384617	0.1353352832366127	6	0.4711605259889175	0.4711605259889175	0.0038461538461538325	0.15384615384615385	1.4918246976412708
12	single	-0.24615384615384617	0.1353352832366127	7	0.8306487040236198	0.8306487040236198	0.25384615384615383	0.15384615384615385	1.4918246976412708
12	single	-0.24615384615384617	0.1353352832366127	8	0.9114029048187482	0.9114029048187482	0.5038461538461538	0.15384615384615385	1.4918246976412708
12	single	-0.24615384615384617	0.1353352832366127	9	0.9624806844169144	0.9624806844169144	0.7538461538461538	0.15384615384615385	1.4918246976412708
12	dual	-0.5	0.1353352832366127	1	-1.0564072192589549	1.0564072192589549	1.5	0.5	1.9678135965090222
12	dual	-0.5	0.1353352832366127	2	-1.0306598165308796	1.0306598165308796	1.25	0.5	1.9678135965090222
12	dual	-0.5	0.1353352832366127	3	-1.0	1.0	1.0	0.5	1.9678135965090222
12	dual	-0.5	0.1353352832366127	4	-0.9618146342649875	0.9618146342649875	0.75	0.5	1.9678135965090222
12	dual	-0.5	0.1353352832366127	5	-0.9104582179395536	0.9104582179395536	0.5	0.5	1.9678135965090222
12	dual	-0.5	0.1353352832366127	6	-0.8289341666136677	0.8289341666136677	0.25	0.5	1.9678135965090222
12	dual	-0.5	0.1353352832366127	7	0.0	0.0	0.0	0.5	1.9678135965090222
12	dual	-0.5	0.1353352832366127	8	0.8289341666136677	0.8289341666136677	0.25	0.5	1.9678135965090222
12	dual	-0.5	0.1353352832366127	9	0.9104582179395536	0.9104582179395536	0.5	0.5	1.9678135965090222
