subject	stream	weight_type	number	weight	x0_type
5	dual	data	8	0.6144200626959248	specific
5	dual	data	9	0.6878612716763006	specific
5	dual	model	1	0.3688306662117878	specific
5	dual	model	2	0.41315833100487753	specific
5	dual	model	3	0.4158166310692138	specific
5	dual	model	4	0.4427926449316207	specific
5	dual	model	5	0.4838394387610806	specific
5	dual	model	6	0.5542229636490621	specific
5	dual	model	7	0.5761244260989652	specific
5	dual	model	8	0.6342577838424072	specific
5	dual	model	9	0.613724021369063	specific
5	dual	model_k1	1	0.3688306662117878	specific
5	dual	model_k1	2	0.41315833100487753	specific
5	dual	model_k1	3	0.4158166310692138	specific
5	dual	model_k1	4	0.4427926449316207	specific
5	dual	model_k1	5	0.4838394387610806	specific
5	dual	model_k1	6	0.5542229636490621	specific
5	dual	model_k1	7	0.5761244260989652	specific
5	dual	model_k1	8	0.6342577838424072	specific
5	dual	model_k1	9	0.613724021369063	specific
5	dual	model_mean	1	0.3761916824937126	specific
5	dual	model_mean	2	0.41794714254679755	specific
5	dual	model_mean	3	0.42089238523508954	specific
5	dual	model_mean	4	0.44595394373717406	specific
5	dual	model_mean	5	0.485275936267683	specific
5	dual	model_mean	6	0.5512089089250811	specific
5	dual	model_mean	7	0.571599246143792	specific
5	dual	model_mean	8	0.6258355997034829	specific
5	dual	model_mean	9	0.6076307257059907	specific
5	single	data	1	0.29577464788732394	specific
5	single	data	2	0.39869281045751637	specific
5	single	data	3	0.4289855072463768	specific
5	single	data	4	0.38977635782747605	specific
5	single	data	5	0.5195195195195195	specific
5	single	data	6	0.48672566371681414	specific
5	single	data	7	0.4879518072289157	specific
5	single	data	8	0.5348101265822784	specific
5	single	data	9	0.6275659824046921	specific
5	single	model	1	0.31390323899491646	specific
5	single	model	2	0.39671062053934014	specific
5	single	model	3	0.3971303407895046	specific
5	single	model	4	0.40446382844190376	specific
5	single	model	5	0.49283880863971924	specific
5	single	model	6	0.49096124458382173	specific
5	single	model	7	0.5153740493028803	specific
5	single	model	8	0.5625648886597753	specific
5	single	model	9	0.5986653640240733	specific
5	single	model_k1	1	0.31390323899491646	specific
5	single	model_k1	2	0.39671062053934014	specific
5	single	model_k1	3	0.3971303407895046	specific
5	single	model_k1	4	0.40446382844190376	specific
5	single	model_k1	5	0.49283880863971924	specific
5	single	model_k1	6	0.49096124458382173	specific
5	single	model_k1	7	0.5153740493028803	specific
5	single	model_k1	8	0.5625648886597753	specific
5	single	model_k1	9	0.5986653640240733	specific
5	single	model_mean	1	0.39753912013030784	specific
5	single	model_mean	2	0.48482182016732955	specific
5	single	model_mean	3	0.48585394647199365	specific
5	single	model_mean	4	0.4922171642764455	specific
5	single	model_mean	5	0.5822353191485533	specific
5	single	model_mean	6	0.5785660352583784	specific
5	single	model_mean	7	0.6022596012652188	specific
5	single	model_mean	8	0.6412720779504654	specific
5	single	model_mean	9	0.6721785534839172	specific
6	dual	data	1	0.3903225806451613	specific
6	dual	data	2	0.3817663817663818	specific
6	dual	data	3	0.4391025641025641	specific
6	dual	data	4	0.4456824512534819	specific
6	dual	data	5	0.48787878787878786	specific
6	dual	data	6	0.5449438202247191	specific
6	dual	data	7	0.5221518987341772	specific
6	dual	data	8	0.639751552795031	specific
6	dual	data	9	0.6453488372093024	specific
6	dual	model	1	0.37695180731392247	specific
6	dual	model	2	0.3826427128803732	specific
6	dual	model	3	0.45073087385493593	specific
6	dual	model	4	0.45164631426159596	specific
6	dual	model	5	0.49266252059758037	specific
6	dual	model	6	0.5370364396847751	specific
6	dual	model	7	0.5364975594155875	specific
6	dual	model	8	0.6136542152700287	specific
6	dual	model	9	0.6545779000923364	specific
6	dual	model_k1	1	0.37695180731392247	specific
6	dual	model_k1	2	0.3826427128803732	specific
6	dual	model_k1	3	0.45073087385493593	specific
6	dual	model_k1	4	0.45164631426159596	specific
6	dual	model_k1	5	0.49266252059758037	specific
6	dual	model_k1	6	0.5370364396847751	specific
6	dual	model_k1	7	0.5364975594155875	specific
6	dual	model_k1	8	0.6136542152700287	specific
6	dual	model_k1	9	0.6545779000923364	specific
6	dual	model_mean	1	0.37027448643036354	specific
6	dual	model_mean	2	0.37646068154163476	specific
6	dual	model_mean	3	0.4476850541736229	specific
6	dual	model_mean	4	0.44880971986396495	specific
6	dual	model_mean	5	0.4922622481797456	specific
6	dual	model_mean	6	0.5389962602085631	specific
6	dual	model_mean	7	0.5382524318388463	specific
6	dual	model_mean	8	0.6200355087169229	specific
6	dual	model_mean	9	0.6633964268914264	specific
6	single	data	1	0.4	specific
6	single	data	2	0.4017094017094017	specific
6	single	data	3	0.44551282051282054	specific
6	single	data	4	0.4428969359331476	specific
6	single	data	5	0.48787878787878786	specific
6	single	data	6	0.4691011235955056	specific
6	single	data	7	0.5126582278481012	specific
6	single	data	8	0.593167701863354	specific
6	single	data	9	0.627906976744186	specific
6	single	model	1	0.38087386100905724	specific
6	single	model	2	0.3912039558631563	specific
6	single	model	3	0.42705009858275617	specific
6	single	model	4	0.4740204376242483	specific
6	single	model	5	0.4970804924809802	specific
6	single	model	6	0.5055169237356631	specific
6	single	model	7	0.523845745707621	specific
6	single	model	8	0.5739288741292498	specific
6	single	model	9	0.6013248141867372	specific
6	single	model_k1	1	0.38087386100905724	specific
6	single	model_k1	2	0.3912039558631563	specific
6	single	model_k1	3	0.42705009858275617	specific
6	single	model_k1	4	0.4740204376242483	specific
6	single	model_k1	5	0.4970804924809802	specific
6	single	model_k1	6	0.5055169237356631	specific
6	single	model_k1	7	0.523845745707621	specific
6	single	model_k1	8	0.5739288741292498	specific
6	single	model_k1	9	0.6013248141867372	specific
6	single	model_mean	1	0.3998064179128035	specific
6	single	model_mean	2	0.41478200414981475	specific
6	single	model_mean	3	0.4623480747851825	specific
6	single	model_mean	4	0.5247675597362285	specific
6	single	model_mean	5	0.559836894680328	specific
6	single	model_mean	6	0.567487496528481	specific
6	single	model_mean	7	0.5964796955347142	specific
6	single	model_mean	8	0.6590874503145308	specific
6	single	model_mean	9	0.6893105325485157	specific
7	dual	data	1	0.4006514657980456	specific
7	dual	data	2	0.4114285714285714	specific
7	dual	data	3	0.42441860465116277	specific
7	dual	data	4	0.46518105849582175	specific
