subject	stream	weight_type	position	number	weight	x0_type
1	dual	model	0	8	0.5859739203225871	specific
1	dual	model	0	9	0.6944063077353996	specific
1	dual	model	1	1	0.2732087302256954	specific
1	dual	model	1	2	0.418369719051444	specific
1	dual	model	1	3	0.37643757744218487	specific
1	dual	model	1	4	0.5109883574801565	specific
1	dual	model	1	5	0.5112345447294792	specific
1	dual	model	1	6	0.5486100913594844	specific
1	dual	model	1	7	0.5247185667089265	specific
1	dual	model	1	8	0.60094770008328	specific
1	dual	model	1	9	0.6071353397947822	specific
1	dual	model	2	1	0.3668188391512593	specific
1	dual	model	2	2	0.3893380392233006	specific
1	dual	model	2	3	0.4888033279560555	specific
1	dual	model	2	4	0.461251004400388	specific
1	dual	model	2	5	0.4224824149200201	specific
1	dual	model	2	6	0.503405636637126	specific
1	dual	model	2	7	0.5922371530414429	specific
1	dual	model	2	8	0.6030866628856678	specific
1	dual	model	2	9	0.6254177505846291	specific
1	dual	model	3	1	0.2392468115411229	specific
1	dual	model	3	2	0.40044824048713684	specific
1	dual	model	3	3	0.41547771069185035	specific
1	dual	model	3	4	0.4209269243668277	specific
1	dual	model	3	5	0.4952264470343624	specific
1	dual	model	3	6	0.48616661476686035	specific
1	dual	model	3	7	0.545356843224142	specific
1	dual	model	3	8	0.6698323238056122	specific
1	dual	model	3	9	0.6566434700716444	specific
1	dual	model	4	1	0.42532725932217164	specific
1	dual	model	4	2	0.4654514402692755	specific
1	dual	model	4	3	0.5092183660444702	specific
1	dual	model	4	4	0.4851507454148235	specific
1	dual	model	4	5	0.39289995573325337	specific
1	dual	model	4	6	0.5227822678010058	specific
1	dual	model	4	7	0.6380112563513787	specific
1	dual	model	4	8	0.615164178843527	specific
1	dual	model	4	9	0.7018832713527334	specific
1	dual	model	5	1	0.48436354646145346	specific
1	dual	model	5	2	0.4262469455587323	specific
1	dual	model	5	3	0.41079696893601586	specific
1	dual	model	5	4	0.4078528750033452	specific
1	dual	model	5	5	0.6642030249461024	specific
1	dual	model	5	6	0.5059791772141801	specific
1	dual	model	5	7	0.4706681340901965	specific
1	dual	model	5	8	0.6673634593921388	specific
1	dual	model	5	9	0.6699572335563362	specific
1	dual	model	6	1	0.3838200302722419	specific
1	dual	model	6	2	0.4538493034240643	specific
1	dual	model	6	3	0.4382895203136439	specific
1	dual	model	6	4	0.4068091852995939	specific
1	dual	model	6	5	0.4712660578593024	specific
1	dual	model	6	6	0.5192721747064417	specific
1	dual	model	6	7	0.5333648586390382	specific
1	dual	model	6	8	0.5869070542198074	specific
1	dual	model	6	9	0.7087731608461444	specific
1	dual	model	7	1	0.4671776133631294	specific
1	dual	model	7	2	0.46511581163515503	specific
1	dual	model	7	3	0.4754130800607356	specific
1	dual	model	7	4	0.5251937644204977	specific
1	dual	model	7	5	0.4628188609225134	specific
1	dual	model	7	6	0.5661934353323221	specific
1	dual	model	7	7	0.45009532406612346	specific
1	dual	model	7	8	0.5895519853148831	specific
1	dual	model	7	9	0.7389364593345151	specific
